final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,School Receptionist,"£24,844.00 - £25,239.00 Annually (Actual) Grade C scp 5-6 (FTE £26,427 to £26,847",Harper Green School,"Bolton, North West, BL4 0DH",2026-09-04,2026-09-21T09:00:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Wigan & Bolton,Greater Manchester - Wigan & Bolton,ROUTED,Exact locality match in geo_lookup.xlsx,bolton,LIVE,YES,school-receptionist-harper-green-school,https://teaching-vacancies.service.gov.uk/jobs/school-receptionist-harper-green-school,,,399498558d851b53e7000408fd97a06098c6c745545cef004b41f51d3e65e02b,"[{""page"": 23, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
POSS,Finance Assistant,"£12,024.46 - £12,607.74 Annually (Actual)",Mosaic Learning Trust,"Wigan, WN6 0NX",2026-09-10,2026-09-28T09:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['PART_TIME'],Greater Manchester - Wigan & Bolton,Greater Manchester - Wigan & Bolton,ROUTED,Exact locality match in geo_lookup.xlsx,wigan,LIVE,YES,finance-assistant-mosaic-learning-trust,https://teaching-vacancies.service.gov.uk/jobs/finance-assistant-mosaic-learning-trust,,,a0e7117c366913beda1ae23f25d2ac071ea20b30eac3caea57d4b0ddb46732c8,"[{""page"": 47, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Attendance and Welfare Support,"Grade 5, SCP 16-20 - £25,989 - £27,254 FTE",The Westleigh School,"Leigh, North West, WN7 5NL",2026-09-10,2026-09-24T16:00:59+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Wigan & Bolton,Greater Manchester - Wigan & Bolton,ROUTED,Exact locality match in geo_lookup.xlsx,leigh,LIVE,YES,attendance-and-welfare-support-the-westleigh-school-leigh-lancashire,https://teaching-vacancies.service.gov.uk/jobs/attendance-and-welfare-support-the-westleigh-school-leigh-lancashire,,,61046df09843ed1368f0dae59a77c1e2560a1cac159e2c3070063360c44e3761,"[{""page"": 37, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Exams & Administration Officer,"25,944.00 - 29,343.00",Dean Trust Wigan,"Wigan, North West, WN5 0DQ",2026-09-04,2026-09-17T08:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Wigan & Bolton,Greater Manchester - Wigan & Bolton,ROUTED,Exact locality match in geo_lookup.xlsx,wigan,LIVE,YES,exams-administration-officer,https://teaching-vacancies.service.gov.uk/jobs/exams-administration-officer,,,82e9f4e67ff2d20f9d1d76906139ba0936c20676d7a08b2e58dbb20e1ce3a575,"[{""page"": 12, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""exams officer"", ""route"": ""keyword:exams officer""}]",Teaching Vacancies
HARD_PASS,Office Manager,"£29,542.00 - £32,046.00 Annually (FTE) Appointment is Term Time + 20 Days",King's Leadership Academy Bolton,"Bolton, North West, BL3 3HL",2026-09-07,2026-09-18T09:00:00+01:00,HARD_PASS,"Manager title salary ceiling £32,046 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Wigan & Bolton,Greater Manchester - Wigan & Bolton,ROUTED,Exact locality match in geo_lookup.xlsx,bolton,LIVE,YES,office-manager-king-s-leadership-academy-bolton,https://teaching-vacancies.service.gov.uk/jobs/office-manager-king-s-leadership-academy-bolton,,,d6f1c5bbee87ad15294d548d3739ec3ddf096eb4b895ad2b9036fc558e6c4046,"[{""page"": 15, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
HARD_PASS,School Office Manager - Primary,"Grade 6, scp 19-24, £27,678.72-£30,571.69 (£32,061-£35,412 FTE) *The salary for this post is subject to the implementation of the 2026/27 pay award, once confirmed.",St Peter and St Paul RC Primary School a Voluntary Academy,"Bolton, North West, BL3 6HP",2026-09-08,2026-09-27T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £35,412 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Wigan & Bolton,Greater Manchester - Wigan & Bolton,ROUTED,Exact locality match in geo_lookup.xlsx,bolton,LIVE,YES,school-office-manager-primary,https://teaching-vacancies.service.gov.uk/jobs/school-office-manager-primary,,,27ca53da4646b4f699f6f5156bc042d802aad51b906ca200879f676fa0f8a542,"[{""page"": 45, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 4, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
