report_date,level,source,region,category,count
2026-09-03,total,All,,,1854
2026-09-03,source_summary,JobG8,,,1504
2026-09-03,source_summary,External,,,350
2026-09-03,provider,JobG8,,,1504
2026-09-03,provider,NEJobs,,,16
2026-09-03,provider,NHS Jobs,,,232
2026-09-03,provider,Teaching Vacancies,,,101
2026-09-03,provider,VONNE,,,1
2026-09-03,region_category,JobG8,Bedfordshire,Admin/Service – Office Support,10
2026-09-03,region_category,JobG8,Berkshire,Admin/Service – Office Support,22
2026-09-03,region_category,JobG8,Berkshire,Customer Sales / Sales Advisor,8
2026-09-03,region_category,JobG8,Berkshire,HR / Recruitment,1
2026-09-03,region_category,JobG8,Berkshire,Marketing,12
2026-09-03,region_category,JobG8,Bristol & Bath,Admin/Service – Office Support,24
2026-09-03,region_category,JobG8,Bristol & Bath,Customer Sales / Sales Advisor,7
2026-09-03,region_category,JobG8,Bristol & Bath,Marketing,5
2026-09-03,region_category,JobG8,Buckinghamshire,Admin/Service – Office Support,19
2026-09-03,region_category,JobG8,Buckinghamshire,Marketing,12
2026-09-03,region_category,JobG8,Cambridgeshire,Admin/Service – Office Support,11
2026-09-03,region_category,JobG8,Cheshire - East,Admin/Service – Office Support,9
2026-09-03,region_category,JobG8,Cheshire - Warrington & Halton,Admin/Service – Office Support,3
2026-09-03,region_category,JobG8,Cheshire - West,Admin/Service – Office Support,7
2026-09-03,region_category,JobG8,Cornwall,Admin/Service – Office Support,2
2026-09-03,region_category,JobG8,Cumbria - South,Support Worker – Wide,2
2026-09-03,region_category,JobG8,Derbyshire,Admin/Service – Office Support,9
2026-09-03,region_category,JobG8,Devon,Admin/Service – Office Support,19
2026-09-03,region_category,JobG8,Dorset,Admin/Service – Office Support,16
2026-09-03,region_category,JobG8,Essex,Admin/Service – Office Support,38
2026-09-03,region_category,JobG8,Essex,Legal Assistant / Paralegal,6
2026-09-03,region_category,JobG8,Gloucestershire,Admin/Service – Office Support,22
2026-09-03,region_category,JobG8,Gloucestershire,Marketing,7
2026-09-03,region_category,JobG8,Greater Manchester - Manchester & Salford,Admin/Service – Office Support,30
2026-09-03,region_category,JobG8,Greater Manchester - Manchester & Salford,Customer Sales / Sales Advisor,22
2026-09-03,region_category,JobG8,Greater Manchester - Manchester & Salford,Marketing,15
2026-09-03,region_category,JobG8,Greater Manchester - South,Admin/Service – Office Support,8
2026-09-03,region_category,JobG8,Greater Manchester - Wigan & Bolton,Admin/Service – Office Support,6
2026-09-03,region_category,JobG8,Hampshire,Admin/Service – Office Support,50
2026-09-03,region_category,JobG8,Hampshire,Customer Service / Contact Centre,10
2026-09-03,region_category,JobG8,Hampshire,Support Worker – Wide,9
2026-09-03,region_category,JobG8,Hertfordshire,Admin/Service – Office Support,27
2026-09-03,region_category,JobG8,Hertfordshire,Customer Sales / Sales Advisor,9
2026-09-03,region_category,JobG8,Hertfordshire,Marketing,11
2026-09-03,region_category,JobG8,Kent,Admin/Service – Office Support,48
2026-09-03,region_category,JobG8,Kent,Customer Sales / Sales Advisor,10
2026-09-03,region_category,JobG8,Kent,Marketing,6
2026-09-03,region_category,JobG8,Kent,Support Worker – Wide,2
2026-09-03,region_category,JobG8,Leicestershire,Admin/Service – Office Support,27
2026-09-03,region_category,JobG8,Lincolnshire,Admin/Service – Office Support,7
2026-09-03,region_category,JobG8,London,Admin/Service – Office Support,120
2026-09-03,region_category,JobG8,London,Customer Sales / Sales Advisor,44
2026-09-03,region_category,JobG8,London,Customer Service / Contact Centre,5
2026-09-03,region_category,JobG8,London,HR / Recruitment,13
2026-09-03,region_category,JobG8,London,Legal Assistant / Paralegal,19
2026-09-03,region_category,JobG8,London,Marketing,68
2026-09-03,region_category,JobG8,London,Support Worker – Wide,14
2026-09-03,region_category,JobG8,Merseyside - Liverpool,Admin/Service – Office Support,9
2026-09-03,region_category,JobG8,Norfolk,Admin/Service – Office Support,19
