report_date,level,source,region,category,count
2026-09-15,total,All,,,1686
2026-09-15,source_summary,JobG8,,,1426
2026-09-15,source_summary,External,,,260
2026-09-15,provider,JobG8,,,1426
2026-09-15,provider,NEJobs,,,11
2026-09-15,provider,NHS Jobs,,,197
2026-09-15,provider,Teaching Vacancies,,,49
2026-09-15,provider,VONNE,,,3
2026-09-15,region_category,JobG8,Bedfordshire,Admin/Service – Office Support,14
2026-09-15,region_category,JobG8,Berkshire,Admin/Service – Office Support,13
2026-09-15,region_category,JobG8,Berkshire,Customer Sales / Sales Advisor,3
2026-09-15,region_category,JobG8,Berkshire,HR / Recruitment,1
2026-09-15,region_category,JobG8,Berkshire,Marketing,10
2026-09-15,region_category,JobG8,Bristol & Bath,Admin/Service – Office Support,23
2026-09-15,region_category,JobG8,Bristol & Bath,Customer Sales / Sales Advisor,5
2026-09-15,region_category,JobG8,Bristol & Bath,Marketing,6
2026-09-15,region_category,JobG8,Buckinghamshire,Admin/Service – Office Support,21
2026-09-15,region_category,JobG8,Buckinghamshire,Customer Service / Contact Centre,1
2026-09-15,region_category,JobG8,Buckinghamshire,Marketing,8
2026-09-15,region_category,JobG8,Cambridgeshire,Admin/Service – Office Support,7
2026-09-15,region_category,JobG8,Cambridgeshire,Marketing,6
2026-09-15,region_category,JobG8,Cheshire - East,Admin/Service – Office Support,14
2026-09-15,region_category,JobG8,Cheshire - Warrington & Halton,Admin/Service – Office Support,22
2026-09-15,region_category,JobG8,Cheshire - West,Admin/Service – Office Support,8
2026-09-15,region_category,JobG8,Cheshire - West,Marketing,4
2026-09-15,region_category,JobG8,Cornwall,Admin/Service – Office Support,3
2026-09-15,region_category,JobG8,Cumbria - South,Support Worker – Wide,3
2026-09-15,region_category,JobG8,Derbyshire,Admin/Service – Office Support,11
2026-09-15,region_category,JobG8,Devon,Admin/Service – Office Support,13
2026-09-15,region_category,JobG8,Devon,Customer Sales / Sales Advisor,4
2026-09-15,region_category,JobG8,Dorset,Admin/Service – Office Support,10
2026-09-15,region_category,JobG8,Essex,Admin/Service – Office Support,26
2026-09-15,region_category,JobG8,Essex,Legal Assistant / Paralegal,6
2026-09-15,region_category,JobG8,Essex,Marketing,6
2026-09-15,region_category,JobG8,Gloucestershire,Admin/Service – Office Support,14
2026-09-15,region_category,JobG8,Gloucestershire,Marketing,8
2026-09-15,region_category,JobG8,Greater Manchester - Manchester & Salford,Admin/Service – Office Support,21
2026-09-15,region_category,JobG8,Greater Manchester - Manchester & Salford,Customer Sales / Sales Advisor,5
2026-09-15,region_category,JobG8,Greater Manchester - Manchester & Salford,Finance / Accounts,2
2026-09-15,region_category,JobG8,Greater Manchester - Manchester & Salford,HR / Recruitment,3
2026-09-15,region_category,JobG8,Greater Manchester - Manchester & Salford,Marketing,10
2026-09-15,region_category,JobG8,Greater Manchester - South,Admin/Service – Office Support,6
2026-09-15,region_category,JobG8,Greater Manchester - South,Marketing,8
2026-09-15,region_category,JobG8,Greater Manchester - Wigan & Bolton,Admin/Service – Office Support,8
2026-09-15,region_category,JobG8,Hampshire,Admin/Service – Office Support,38
2026-09-15,region_category,JobG8,Hampshire,Customer Sales / Sales Advisor,9
2026-09-15,region_category,JobG8,Hampshire,Customer Service / Contact Centre,4
2026-09-15,region_category,JobG8,Hampshire,Support Worker – Wide,10
2026-09-15,region_category,JobG8,Hertfordshire,Admin/Service – Office Support,12
2026-09-15,region_category,JobG8,Hertfordshire,Customer Sales / Sales Advisor,1
2026-09-15,region_category,JobG8,Hertfordshire,Marketing,6
2026-09-15,region_category,JobG8,Kent,Admin/Service – Office Support,29
2026-09-15,region_category,JobG8,Kent,Customer Sales / Sales Advisor,7
2026-09-15,region_category,JobG8,Kent,Marketing,10
2026-09-15,region_category,JobG8,Kent,Support Worker – Wide,4
2026-09-15,region_category,JobG8,Leicestershire,Admin/Service – Office Support,19
2026-09-15,region_category,JobG8,Lincolnshire,Admin/Service – Office Support,4
