decision,region,title,manual_override,manual_select,remaining_slots,selection_status,possible_selection_rank,town,title_classification,selection_scenario,employment_type,salary_text,salary_source,salary_review_status,annual_salary_upper,regional_salary_review_point,geo_source,description_preview,context_policy,context_status,context_reason,title_priority,review_status,classification_reason,reason,apply_url_present,job_id,description_present,excel_row,region_selection_message
SELECTED,Yorkshire - South,Healthcare Assistant,,,,SELECTED,,Sheffield,HIGH_CONFIDENCE,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Temporary,£14.24 per hour,description_fallback,ok,27768.0,30000.0,area,"Join Seven Resourcing as a Healthcare Assistant (HCA) with a specialism in Medication, based in Sheffield S36 1 AD. This ongoing role with flexible and competitive hourly rates offers an exciting opportunity to work with one of our trusted healthcare clients. Discover a rewarding and varied career where you can make a real difference. Pay, shifts a...",,ok,,1,STABLE,title register: care assistant/worker frontline wording,title classification: HIGH_CONFIDENCE - title register: care assistant/worker frontline wording,yes,9970f2ba-5a14-44da-89b2-e5bde6c3f05d,yes,383,Yorkshire - South selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
SELECTED,Yorkshire - South,Waking Night Rehabilitation Support Worker,,,,SELECTED,,Barnsley,HIGH_CONFIDENCE,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Permanent,£13.45 per hour,structured,ok,26227.5,30000.0,area,"Waking Night Rehabilitation Support Worker Location: Barnsley Salary: £13.45 per hour Job Types: Part-time, Permanent We are seeking a compassionate and dedicated Waking Night Support Worker to provide high-quality care to individuals as they recover and relearn skills after they have had an accident or injury. The work we do at Ariya Neuro Care ma...",,ok,,1,STABLE,high-confidence title pattern: support worker,title classification: HIGH_CONFIDENCE - high-confidence title pattern: support worker,yes,616c0fbd-815e-424d-8086-ba78ca9e8d6b,yes,402,Yorkshire - South selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
SELECTED,Yorkshire - South,Hourly Care Assistant to Journalism Studies Uni student,,,,SELECTED,,Sheffield,HIGH_CONFIDENCE,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Permanent,£15 per hour,structured,ok,29250.0,30000.0,area,"Hourly Care Assistant to Journalism Studies Uni student Are you a recent graduate wondering what to do next? Or are you looking for a rewarding role where you can make a genuine difference while enjoying a varied and exciting working environment? AskJules is recruiting on behalf of our client, who is looking for a team of four enthusiastic, reliabl...",,ok,,1,STABLE,high-confidence title pattern: care assistant,title classification: HIGH_CONFIDENCE - high-confidence title pattern: care assistant,yes,107798506,yes,1661,Yorkshire - South selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
POSS - YORKSHIRE - SOUTH,Yorkshire - South,Support Worker ( Female Only ),,,,POSSIBLE_SELECTION,1,Sheffield,HIGH_CONFIDENCE,SCENARIO_4_BELOW_PUBLISH_THRESHOLD,Permanent,£14.16 - £16.22 per hour,structured,review,31629.0,30000.0,area,"Ashberry recruitment are currently seeking for an experienced Female support worker in the housing sector, to work as part of a wonderful team at a Service in Sheffield which provide daily support and supported accommodation to female individuals suffering from homelessness, substance misuse and mental health issues. This is a permanent post and th...",,ok,,1,STABLE,high-confidence title pattern: support worker,"manual review required: title classification: HIGH_CONFIDENCE - high-confidence title pattern: support worker; manual review required: annualised upper salary £31,629 exceeds regional review point £30,000",yes,dfd8c7b5-d8b9-4691-9c8d-2e2ebc1ab1e7,yes,603,Yorkshire - South selection below publish threshold: 5/6 credible roles. Do not publish/refresh this slice from this run.
SELECTED,"North East - Tyneside, Wearside & Northumberland",Care Assistant,,,,SELECTED,,Hexham,HIGH_CONFIDENCE,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Permanent,£13.5 per hour,structured,ok,26325.0,30000.0,area,"Care Assistant/Housekeeping - Days & Nights - Residential Care AV1994 Full Time 35 Hours Per Week Residential Care Location: Allendale, NorthumberlandPay: £13.50 per hour Paid Breaks Included Family-Owned Stand-Alone Service 12 Residents Learning Disabilities & Complex Needs Are you a compassionate and dedicated Healthcare Assistant looking for a r...",,ok,,1,STABLE,title register: care assistant/worker frontline wording,title classification: HIGH_CONFIDENCE - title register: care assistant/worker frontline wording,yes,2cce53be-0eb7-4d38-90ef-b37163d4f101,yes,129,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,"North East - Tyneside, Wearside & Northumberland",Male Support Worker,,,,SELECTED,,Whitley Bay,HIGH_CONFIDENCE,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Temporary,£15 per hour,structured,ok,29250.0,30000.0,area,"Job Title: Male Support WorkerLocation: Whitey Bay, Salary: £15 per hour, weekly pay (PAYE)Job Type: Part time (16 hours a week - days and evenings)Essentials: Drivers required and complex care experience (PEG feeding)Priority Healthcare have an exciting opportunity for a Complex Care Support Worker looking for a new challenge in the Whitley Bay ar...",,ok,,1,STABLE,title register: core Support Worker wording,title classification: HIGH_CONFIDENCE - title register: core Support Worker wording,yes,35ef02dd-6e8a-4d5a-a1af-bacca950305f,yes,783,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,"North East - Tyneside, Wearside & Northumberland",Complex care assistant,,,,SELECTED,,Newcastle Upon Tyne,ELASTIC_FIT,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Contract,£29350 per year,structured,ok,29350.0,30000.0,area,"Routes Healthcare does not offer sponsorship Female Complex Care Assistant Location: Newcastle - Westerhope Pay Rate: £14.24-£15.17 per hour (including holiday pay) + Fully funded Enhanced DBS and guaranteed hours available after successful probation Shifts : 12 h day 8 AM - 8 PM IMPORTANT: Unfortunately, Routes are unable to offer a job to anyone...",,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: complex care,title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: complex care,yes,107616541,yes,1040,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,"North East - Tyneside, Wearside & Northumberland",Care Assistant - Care Home,,,,SELECTED,,Ashington,HIGH_CONFIDENCE,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Permanent,£13.21 per hour,structured,ok,25759.5,30000.0,area,"ABOUT THE ROLEAs a Care Assistant at a Barchester care home, you'll help residents enjoy each day by making sure they get the quality care and support they deserve. You'll assist with daily living, providing support and companionship and sharing great moments and memories too. It's a chance to bring your dedication and compassion to a fulfilling en...",,ok,,1,STABLE,title register: care assistant/worker frontline wording,title classification: HIGH_CONFIDENCE - title register: care assistant/worker frontline wording,yes,9b0995dd-b5e5-433f-b113-8a55acf6d8cd,yes,1093,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,"North East - Tyneside, Wearside & Northumberland",Children and Young Persons Support Worker,,,,SELECTED,,Northumberland,HIGH_CONFIDENCE,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Contract,£15 - £18 per hour (CONTRACT),structured,ok,35100.0,30000.0,location_fallback,"We offer high-quality, specialist care to some of the most disadvantaged and vulnerable children in society. Every young person in our care is supported by a team of experienced, empathetic staff within warm, welcoming homes. Our approach is built around emotional safety, trust, and consistent daily routines, helping children build confidence, deve...",,ok,,1,AGREED_2026-07-24,title register: Direct support for children and young people is eligible,title classification: HIGH_CONFIDENCE - title register: Direct support for children and young people is eligible,yes,107199252,yes,1218,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,"North East - Tyneside, Wearside & Northumberland",Complex care assistant,,,,SELECTED,,Blaydon-on-tyne,ELASTIC_FIT,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Contract,£29350 per year,structured,ok,29350.0,30000.0,area,Complex Care Specialist - Regional Support Team Female Only (Client Requirement) Blaydon and Chopwell £15.12 per hour (incl. holiday pay) + 30 p per mile Shifts: Monday - Friday 06:30 - 10:30 Monday - Friday - 14:30 - 18:30 - Saturdays - 10:00 - 14:00 Monday-Sunday (weekend availability required) 2:1 runs Applicants must have the right to work in t...,,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: complex care,title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: complex care,yes,107617093,yes,1454,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
