feed_date,region,family,selected_count
2026-09-07,Dorset,legal_assistant_paralegal,0
2026-09-07,Dorset,marketing,2
2026-09-07,Dorset,finance_accounts,0
2026-09-07,Dorset,hr_recruitment,0
2026-09-07,Dorset,customer_service_contact_centre,4
2026-09-07,Essex,service_admin,33
2026-09-07,Essex,support_worker,0
2026-09-07,Essex,customer_sales,5
2026-09-07,Essex,legal_assistant_paralegal,5
2026-09-07,Essex,marketing,6
2026-09-07,Essex,finance_accounts,6
2026-09-07,Essex,hr_recruitment,1
2026-09-07,Essex,customer_service_contact_centre,5
2026-09-07,Gloucestershire,service_admin,25
2026-09-07,Gloucestershire,support_worker,0
2026-09-07,Gloucestershire,customer_sales,7
2026-09-07,Gloucestershire,legal_assistant_paralegal,0
2026-09-07,Gloucestershire,marketing,7
2026-09-07,Gloucestershire,finance_accounts,3
2026-09-07,Gloucestershire,hr_recruitment,0
2026-09-07,Gloucestershire,customer_service_contact_centre,4
2026-09-07,Greater Manchester - Manchester & Salford,service_admin,28
2026-09-07,Greater Manchester - Manchester & Salford,support_worker,2
2026-09-07,Greater Manchester - Manchester & Salford,customer_sales,24
2026-09-07,Greater Manchester - Manchester & Salford,legal_assistant_paralegal,5
2026-09-07,Greater Manchester - Manchester & Salford,marketing,17
2026-09-07,Greater Manchester - Manchester & Salford,finance_accounts,5
2026-09-07,Greater Manchester - Manchester & Salford,hr_recruitment,2
2026-09-07,Greater Manchester - Manchester & Salford,customer_service_contact_centre,3
2026-09-07,Greater Manchester - North,service_admin,3
2026-09-07,Greater Manchester - North,support_worker,0
2026-09-07,Greater Manchester - North,customer_sales,0
2026-09-07,Greater Manchester - North,legal_assistant_paralegal,0
2026-09-07,Greater Manchester - North,marketing,0
2026-09-07,Greater Manchester - North,finance_accounts,0
2026-09-07,Greater Manchester - North,hr_recruitment,0
2026-09-07,Greater Manchester - North,customer_service_contact_centre,1
2026-09-07,Greater Manchester - South,service_admin,7
2026-09-07,Greater Manchester - South,support_worker,0
2026-09-07,Greater Manchester - South,customer_sales,0
2026-09-07,Greater Manchester - South,legal_assistant_paralegal,1
2026-09-07,Greater Manchester - South,marketing,2
2026-09-07,Greater Manchester - South,finance_accounts,0
2026-09-07,Greater Manchester - South,hr_recruitment,0
2026-09-07,Greater Manchester - South,customer_service_contact_centre,2
2026-09-07,Greater Manchester - Wigan & Bolton,service_admin,4
2026-09-07,Greater Manchester - Wigan & Bolton,support_worker,0
2026-09-07,Greater Manchester - Wigan & Bolton,customer_sales,1
2026-09-07,Greater Manchester - Wigan & Bolton,legal_assistant_paralegal,0
2026-09-07,Greater Manchester - Wigan & Bolton,marketing,0
2026-09-07,Greater Manchester - Wigan & Bolton,finance_accounts,0
2026-09-07,Greater Manchester - Wigan & Bolton,hr_recruitment,1
2026-09-07,Greater Manchester - Wigan & Bolton,customer_service_contact_centre,1
2026-09-07,Hampshire,service_admin,62
2026-09-07,Hampshire,support_worker,8
2026-09-07,Hampshire,customer_sales,15
2026-09-07,Hampshire,legal_assistant_paralegal,1
2026-09-07,Hampshire,marketing,7
2026-09-07,Hampshire,finance_accounts,2
2026-09-07,Hampshire,hr_recruitment,5
2026-09-07,Hampshire,customer_service_contact_centre,8
2026-09-07,Herefordshire,service_admin,0
2026-09-07,Herefordshire,support_worker,0
2026-09-07,Herefordshire,customer_sales,0
2026-09-07,Herefordshire,legal_assistant_paralegal,0
2026-09-07,Herefordshire,marketing,0
2026-09-07,Herefordshire,finance_accounts,0
2026-09-07,Herefordshire,hr_recruitment,0
2026-09-07,Herefordshire,customer_service_contact_centre,0
2026-09-07,Hertfordshire,service_admin,31
2026-09-07,Hertfordshire,support_worker,0
2026-09-07,Hertfordshire,customer_sales,7
2026-09-07,Hertfordshire,legal_assistant_paralegal,1
2026-09-07,Hertfordshire,marketing,10
2026-09-07,Hertfordshire,finance_accounts,2
2026-09-07,Hertfordshire,hr_recruitment,1
2026-09-07,Hertfordshire,customer_service_contact_centre,3
2026-09-07,Kent,service_admin,53
2026-09-07,Kent,support_worker,2
2026-09-07,Kent,customer_sales,11
2026-09-07,Kent,legal_assistant_paralegal,6
2026-09-07,Kent,marketing,6
2026-09-07,Kent,finance_accounts,0
2026-09-07,Kent,hr_recruitment,1
2026-09-07,Kent,customer_service_contact_centre,3
2026-09-07,Lancashire - Blackpool & Fylde,service_admin,0
2026-09-07,Lancashire - Blackpool & Fylde,support_worker,0
2026-09-07,Lancashire - Blackpool & Fylde,customer_sales,0
2026-09-07,Lancashire - Blackpool & Fylde,legal_assistant_paralegal,0
2026-09-07,Lancashire - Blackpool & Fylde,marketing,2
2026-09-07,Lancashire - Blackpool & Fylde,finance_accounts,0
2026-09-07,Lancashire - Blackpool & Fylde,hr_recruitment,0
2026-09-07,Lancashire - Blackpool & Fylde,customer_service_contact_centre,0
2026-09-07,Lancashire - Central,service_admin,3
2026-09-07,Lancashire - Central,support_worker,0
2026-09-07,Lancashire - Central,customer_sales,1
