date,job_id,title,company,raw_area,raw_location,geo_source,category,source_file,unknown_reason
2026-07-10,107648872,Administration Assistant,Brightwork Ltd,Keith,Banffshire,unknown,admin_service,2026-07-10.xlsx,area_not_found_in_geo_lookup
2026-07-10,56381f2e-2636-4b80-b969-174b7dbbd215,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-07-10.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-10,107632873,Technical Administrator,The Collective Network,Not Specified,Cambridgeshire,unknown,admin_service,2026-07-10.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-11,107648872,Administration Assistant,Brightwork Ltd,Keith,Banffshire,unknown,admin_service,2026-07-11.xlsx,area_not_found_in_geo_lookup
2026-07-11,56381f2e-2636-4b80-b969-174b7dbbd215,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-07-11.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-12,107648872,Administration Assistant,Brightwork Ltd,Keith,Banffshire,unknown,admin_service,2026-07-12.xlsx,area_not_found_in_geo_lookup
2026-07-12,56381f2e-2636-4b80-b969-174b7dbbd215,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-07-12.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-13,107648872,Administration Assistant,Brightwork Ltd,Keith,Banffshire,unknown,admin_service,2026-07-13.xlsx,area_not_found_in_geo_lookup
2026-07-13,56381f2e-2636-4b80-b969-174b7dbbd215,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-07-13.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-13,107632873,Technical Administrator,The Collective Network,Not Specified,Cambridgeshire,unknown,admin_service,2026-07-13.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-14,107648872,Administration Assistant,Brightwork Ltd,Keith,Banffshire,unknown,admin_service,2026-07-14.xlsx,area_not_found_in_geo_lookup
2026-07-14,56381f2e-2636-4b80-b969-174b7dbbd215,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-07-14.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-14,107632873,Technical Administrator,The Collective Network,Not Specified,Cambridgeshire,unknown,admin_service,2026-07-14.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-16,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-16.xlsx,area_not_found_in_geo_lookup
2026-07-17,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-17.xlsx,area_not_found_in_geo_lookup
2026-07-17,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-17.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-17,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-17.xlsx,area_not_found_in_geo_lookup
2026-07-18,84512d69-5110-4dec-9338-14657e8e0806,Temporary Administrator,Office Angels,Denny,Stirlingshire,unknown,admin_service,2026-07-18.xlsx,area_not_found_in_geo_lookup
2026-07-18,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-18.xlsx,area_not_found_in_geo_lookup
2026-07-18,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-18.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-18,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-18.xlsx,area_not_found_in_geo_lookup
2026-07-19,84512d69-5110-4dec-9338-14657e8e0806,Temporary Administrator,Office Angels,Denny,Stirlingshire,unknown,admin_service,2026-07-19.xlsx,area_not_found_in_geo_lookup
2026-07-19,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-19.xlsx,area_not_found_in_geo_lookup
2026-07-19,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-19.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-19,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-19.xlsx,area_not_found_in_geo_lookup
2026-07-20,84512d69-5110-4dec-9338-14657e8e0806,Temporary Administrator,Office Angels,Denny,Stirlingshire,unknown,admin_service,2026-07-20.xlsx,area_not_found_in_geo_lookup
2026-07-20,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-20.xlsx,area_not_found_in_geo_lookup
2026-07-20,b2b53db0-d99e-45e6-8029-10bd318fcd8f,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-20.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-20,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-20.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-20,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-20.xlsx,area_not_found_in_geo_lookup
2026-07-21,69fb8ebd-a87b-4da4-ad0f-52bf333ea3b6,Sales Administrator,YourRecruit,Coulsdon,Surrey,unknown,admin_service,2026-07-21.xlsx,area_not_found_in_geo_lookup
2026-07-21,84512d69-5110-4dec-9338-14657e8e0806,Temporary Administrator,Office Angels,Denny,Stirlingshire,unknown,admin_service,2026-07-21.xlsx,area_not_found_in_geo_lookup
2026-07-21,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-21.xlsx,area_not_found_in_geo_lookup
2026-07-21,6b682222-60bb-42a2-8c5d-c6ca49d0735e,Administration Assistant,Future Engineering Recruitment Ltd,Not Specified,Lanarkshire,unknown,admin_service,2026-07-21.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-21,3b944583-ade2-4f67-9f55-d2facbe00066,Financial Planning Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-21.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-21,b2b53db0-d99e-45e6-8029-10bd318fcd8f,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-21.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-21,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-21.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-21,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-21.xlsx,area_not_found_in_geo_lookup
2026-07-22,69fb8ebd-a87b-4da4-ad0f-52bf333ea3b6,Sales Administrator,YourRecruit,Coulsdon,Surrey,unknown,admin_service,2026-07-22.xlsx,area_not_found_in_geo_lookup
2026-07-22,84512d69-5110-4dec-9338-14657e8e0806,Temporary Administrator,Office Angels,Denny,Stirlingshire,unknown,admin_service,2026-07-22.xlsx,area_not_found_in_geo_lookup
2026-07-22,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-22.xlsx,area_not_found_in_geo_lookup
2026-07-22,6b682222-60bb-42a2-8c5d-c6ca49d0735e,Administration Assistant,Future Engineering Recruitment Ltd,Not Specified,Lanarkshire,unknown,admin_service,2026-07-22.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-22,3b944583-ade2-4f67-9f55-d2facbe00066,Financial Planning Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-22.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-22,b2b53db0-d99e-45e6-8029-10bd318fcd8f,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-22.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-22,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-22.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-22,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-22.xlsx,area_not_found_in_geo_lookup
2026-07-23,69fb8ebd-a87b-4da4-ad0f-52bf333ea3b6,Sales Administrator,YourRecruit,Coulsdon,Surrey,unknown,admin_service,2026-07-23.xlsx,area_not_found_in_geo_lookup
2026-07-23,84512d69-5110-4dec-9338-14657e8e0806,Temporary Administrator,Office Angels,Denny,Stirlingshire,unknown,admin_service,2026-07-23.xlsx,area_not_found_in_geo_lookup
