lookup_region,raw_area,diagnostic_status,unique_jobs,unique_titles,days_with_rows,top_titles
London,City,unregistered_title,1,1,7,British Sign Language (BSL) Interpreter - Work from home (7)
Other / Unknown,Birmingham,registered_but_not_selected,2,2,7,Nurse Manager (7); Registered Nurse (7)
Other / Unknown,Birmingham,unregistered_title,5,5,7,Key Worker (7); Solihull Early Help Autism Worker (7); Peer Mentor - Intensive Community Rehabilitation Team (4); SENIOR YOUTH SUPPORT WORKER (OASIS MIDLANDS) (2); Registry Administrator (1)
unknown,Not Specified,admin_service_selected,15,10,28,IFA Administrator (35); Commercial Administrator (19); Customer Service Administrator (19); Business Support Officer (13); Senior Pensions Administrator (13); Ifa Administrator (7); Accounts Administrator (3); Sales Administrator (3); Finance Administrator (3); Project Administrator (1)
unknown,Not Specified,other_registered_category_selected,8,7,30,Family Support Worker (42); Domestic Abuse Support Worker (15); Residential Support Worker (11); Support Worker (9); Transport Administrator (7); Relief Support Worker (3); Female Support Worker (2)
unknown,Not Specified,registered_but_not_selected,36,25,31,Registered Manager (62); Clinical Assessor (61); Clinical Negligence Solicitor (55); Environmental Health Officer (48); 111 Clinical Advisor - Homeworking (27); Occupational Health Advisor (22); Executive Assistant (19); Psychology Graduate (17); Community Engagement Officer (17); Transperineal Prostate Biopsy Specialist (15); Office Manager (10); Personal Assistant (10); Functional Assessor (10); Occupational Therapist (10); Quality Auditor / Data Analysis Technician (9)
unknown,Not Specified,unregistered_title,93,89,31,Dual Registered Manager (32); Paramedic Assessor (31); Registered Manager Supported Accommodation (30); Part Time Office Manager (30); Sme Cleaning & Ass. Services Healthcare (30); Machine Shop Shift Supervisor (Heavy Engineering) (28); Deputy Chef (26); Community Partnership and Engagement Officer Temporary role (23); Administrator / Health and Safety Team (23); Immediate Finance Administrator (21); Post-Completion Administrator (21); Radiology Imaging Specialist (20); Defendant Clinical Negligence Associate/Senior Associate (18); Extended Workforce Adviser/ Administrator- Interim -Hybrid (16); Occupational Health Manager (16)
