month,date,region,region_scope,category,daily_job_count
2026-08-post-expansion,2026-08-16,Derbyshire,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-17,Derbyshire,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-11,Devon,lookup_region,admin_service,8
2026-08-post-expansion,2026-08-12,Devon,lookup_region,admin_service,9
2026-08-post-expansion,2026-08-14,Devon,lookup_region,admin_service,10
2026-08-post-expansion,2026-08-15,Devon,lookup_region,admin_service,11
2026-08-post-expansion,2026-08-16,Devon,lookup_region,admin_service,10
2026-08-post-expansion,2026-08-17,Devon,lookup_region,admin_service,10
2026-08-post-expansion,2026-08-11,Dorset,lookup_region,admin_service,9
2026-08-post-expansion,2026-08-12,Dorset,lookup_region,admin_service,8
2026-08-post-expansion,2026-08-14,Dorset,lookup_region,admin_service,7
2026-08-post-expansion,2026-08-15,Dorset,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-16,Dorset,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-17,Dorset,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-11,East Midlands,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-12,East Midlands,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-14,East Midlands,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-15,East Midlands,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-16,East Midlands,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-17,East Midlands,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-11,Essex,lookup_region,admin_service,12
2026-08-post-expansion,2026-08-12,Essex,lookup_region,admin_service,13
2026-08-post-expansion,2026-08-14,Essex,lookup_region,admin_service,14
2026-08-post-expansion,2026-08-15,Essex,lookup_region,admin_service,15
2026-08-post-expansion,2026-08-16,Essex,lookup_region,admin_service,15
2026-08-post-expansion,2026-08-17,Essex,lookup_region,admin_service,16
2026-08-post-expansion,2026-08-11,Gloucestershire,lookup_region,admin_service,9
2026-08-post-expansion,2026-08-12,Gloucestershire,lookup_region,admin_service,9
2026-08-post-expansion,2026-08-14,Gloucestershire,lookup_region,admin_service,9
2026-08-post-expansion,2026-08-15,Gloucestershire,lookup_region,admin_service,10
2026-08-post-expansion,2026-08-16,Gloucestershire,lookup_region,admin_service,10
2026-08-post-expansion,2026-08-17,Gloucestershire,lookup_region,admin_service,10
2026-08-post-expansion,2026-08-11,Greater Manchester - Manchester & Salford,lookup_region,admin_service,20
2026-08-post-expansion,2026-08-12,Greater Manchester - Manchester & Salford,lookup_region,admin_service,20
2026-08-post-expansion,2026-08-14,Greater Manchester - Manchester & Salford,lookup_region,admin_service,17
2026-08-post-expansion,2026-08-15,Greater Manchester - Manchester & Salford,lookup_region,admin_service,17
2026-08-post-expansion,2026-08-16,Greater Manchester - Manchester & Salford,lookup_region,admin_service,18
2026-08-post-expansion,2026-08-17,Greater Manchester - Manchester & Salford,lookup_region,admin_service,18
2026-08-post-expansion,2026-08-11,Greater Manchester - North,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-12,Greater Manchester - North,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-14,Greater Manchester - North,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-15,Greater Manchester - North,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-16,Greater Manchester - North,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-17,Greater Manchester - North,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-11,Greater Manchester - South,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-12,Greater Manchester - South,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-14,Greater Manchester - South,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-15,Greater Manchester - South,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-16,Greater Manchester - South,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-17,Greater Manchester - South,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-11,Greater Manchester - Wigan & Bolton,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-12,Greater Manchester - Wigan & Bolton,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-14,Greater Manchester - Wigan & Bolton,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-15,Greater Manchester - Wigan & Bolton,lookup_region,admin_service,3
