date,job_id,title,company,raw_area,raw_location,geo_source,category,source_file,unknown_reason
2026-06-01,57cfaeb3-a33f-47d6-9832-1daf4bb3b746,Administrator,Platinum Recruitment,Not Specified,Cheshire,unknown,admin_service,2026-06-01.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-01,50e5cfd8-34a6-465e-84b8-f4b99d3d5b4a,Employee Benefits Administrator,Alexander Lloyd,Not Specified,South East,unknown,admin_service,2026-06-01.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-01,6f51bb53-6a79-488b-a28b-bd51a86b4ddc,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-06-01.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-02,57cfaeb3-a33f-47d6-9832-1daf4bb3b746,Administrator,Platinum Recruitment,Not Specified,Cheshire,unknown,admin_service,2026-06-02.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-02,6f51bb53-6a79-488b-a28b-bd51a86b4ddc,Remote Admin Assistant,SmartPA,Not Specified,Not Specified,unknown,admin_service,2026-06-02.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-03,57cfaeb3-a33f-47d6-9832-1daf4bb3b746,Administrator,Platinum Recruitment,Not Specified,Cheshire,unknown,admin_service,2026-06-03.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-04,2041321,Accounts Administrator,Hays,Not Specified,Not Specified,unknown,admin_service,2026-06-04.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-04,57cfaeb3-a33f-47d6-9832-1daf4bb3b746,Administrator,Platinum Recruitment,Not Specified,Cheshire,unknown,admin_service,2026-06-04.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-04,2041928,Customer Service Administrator,Reed Specialist Recruitment,Not Specified,Not Specified,unknown,admin_service,2026-06-04.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-04,2041322,Helpdesk Administrator,Hays,Not Specified,Not Specified,unknown,admin_service,2026-06-04.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-04,2041929,Part Time Customer Service Administrator,Reed Specialist Recruitment,Not Specified,Not Specified,unknown,admin_service,2026-06-04.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-05,2041321,Accounts Administrator,Hays,Not Specified,Not Specified,unknown,admin_service,2026-06-05-.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-05,57cfaeb3-a33f-47d6-9832-1daf4bb3b746,Administrator,Platinum Recruitment,Not Specified,Cheshire,unknown,admin_service,2026-06-05-.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-05,2041928,Customer Service Administrator,Reed Specialist Recruitment,Not Specified,Not Specified,unknown,admin_service,2026-06-05-.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-05,2041322,Helpdesk Administrator,Hays,Not Specified,Not Specified,unknown,admin_service,2026-06-05-.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-05,2041929,Part Time Customer Service Administrator,Reed Specialist Recruitment,Not Specified,Not Specified,unknown,admin_service,2026-06-05-.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-06,2041321,Accounts Administrator,Hays,Not Specified,Not Specified,unknown,admin_service,2026-06-06.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-06,57cfaeb3-a33f-47d6-9832-1daf4bb3b746,Administrator,Platinum Recruitment,Not Specified,Cheshire,unknown,admin_service,2026-06-06.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-06,50e5cfd8-34a6-465e-84b8-f4b99d3d5b4a,Employee Benefits Administrator,Alexander Lloyd,Not Specified,South East,unknown,admin_service,2026-06-06.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-06,2040851,Sales Support Administrator,Hays,Not Specified,Not Specified,unknown,admin_service,2026-06-06.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-07,2041321,Accounts Administrator,Hays,Not Specified,Not Specified,unknown,admin_service,2026-06-07.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-07,57cfaeb3-a33f-47d6-9832-1daf4bb3b746,Administrator,Platinum Recruitment,Not Specified,Cheshire,unknown,admin_service,2026-06-07.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-07,50e5cfd8-34a6-465e-84b8-f4b99d3d5b4a,Employee Benefits Administrator,Alexander Lloyd,Not Specified,South East,unknown,admin_service,2026-06-07.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-07,2040851,Sales Support Administrator,Hays,Not Specified,Not Specified,unknown,admin_service,2026-06-07.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-08,2041321,Accounts Administrator,Hays,Not Specified,Not Specified,unknown,admin_service,2026-06-08.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-08,57cfaeb3-a33f-47d6-9832-1daf4bb3b746,Administrator,Platinum Recruitment,Not Specified,Cheshire,unknown,admin_service,2026-06-08.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-08,50e5cfd8-34a6-465e-84b8-f4b99d3d5b4a,Employee Benefits Administrator,Alexander Lloyd,Not Specified,South East,unknown,admin_service,2026-06-08.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-08,2040851,Sales Support Administrator,Hays,Not Specified,Not Specified,unknown,admin_service,2026-06-08.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-09,2041321,Accounts Administrator,Hays,Not Specified,Not Specified,unknown,admin_service,2026-06-09.xlsx,area_unusable_and_location_not_auto_fallback
2026-06-09,57cfaeb3-a33f-47d6-9832-1daf4bb3b746,Administrator,Platinum Recruitment,Not Specified,Cheshire,unknown,admin_service,2026-06-09.xlsx,area_unusable_and_location_not_auto_fallback
