month,region,region_scope,existing_live_page,recommendation,total_jobs,feed_days,days_seen,average_daily_count,maximum_daily_count,days_with_6_plus,unique_title_count,unique_company_count,unique_location_count,concentration_risk
2026-07,West Midlands - Coventry & Warwickshire,lookup_region,no,BUILD,16,31,31,6.1,10,15,9,13,6,LOW
2026-07,London,lookup_region,yes,MAINTAIN,128,31,31,33.03,55,31,55,80,20,LOW
2026-07,Surrey,lookup_region,yes,MAINTAIN,44,31,31,13.1,27,23,27,26,16,LOW
2026-07,Kent,lookup_region,yes,MAINTAIN,38,31,31,11.35,23,22,19,23,14,LOW
2026-07,Hampshire,lookup_region,yes,MAINTAIN,40,31,31,11.32,21,23,22,28,16,LOW
2026-07,Yorkshire - West,lookup_region,yes,MAINTAIN,35,31,31,8.74,20,17,20,23,11,MEDIUM
2026-07,Sussex,lookup_region,yes,MAINTAIN,24,31,31,7.81,14,16,19,20,13,LOW
2026-07,North East,published_aggregate,yes,MAINTAIN,24,31,31,6.35,13,15,18,20,12,LOW
2026-07,Cheshire - East,lookup_region,no,REJECT,3,31,15,1.1,3,0,2,3,2,HIGH
2026-07,Wales South - Swansea Bay,lookup_region,no,REJECT,4,31,15,0.81,3,0,4,4,2,HIGH
2026-07,Wales South -gwent,lookup_region,no,REJECT,3,31,10,0.65,3,0,3,3,1,HIGH
2026-07,Lancashire - Blackpool & Fylde,lookup_region,no,REJECT,3,31,11,0.61,2,0,3,2,1,HIGH
2026-07,Merseyside - Sefton,lookup_region,no,REJECT,1,31,15,0.48,1,0,1,1,1,HIGH
2026-07,Scotland Central - Falkirk & Stirling,lookup_region,no,REJECT,1,31,15,0.48,1,0,1,1,1,HIGH
2026-07,East of England,lookup_region,no,REJECT,1,31,12,0.39,1,0,1,1,1,HIGH
2026-07,West Midlands,lookup_region,no,REJECT,2,31,12,0.39,1,0,1,1,1,HIGH
2026-07,Highland,lookup_region,no,REJECT,3,31,8,0.32,2,0,2,2,2,HIGH
2026-07,Scotland Central - Fife,lookup_region,no,REJECT,4,31,8,0.32,2,0,2,2,2,HIGH
2026-07,devon,lookup_region,no,REJECT,1,31,10,0.32,1,0,1,1,1,HIGH
2026-07,Wales South - Gwent,lookup_region,no,REJECT,1,31,9,0.29,1,0,1,1,1,HIGH
2026-07,Cornwall,lookup_region,no,REJECT,3,31,3,0.26,3,0,3,3,3,HIGH
