metric,value
total_current_jobg8_rows,2293
changed_cluster_rows,24
changed_daily_region_rows,0
specific_term_rows_checked,24
main_geo_source,origin/main:pipeline/geo/geo_lookup.xlsx
branch_geo_source,pipeline/geo/geo_lookup.xlsx
