region,cap,selected_total,selected_high_confidence,selected_anchor_elastic,selected_other_elastic,possible_candidates,remaining_slots,credible_total,anchor_town,scenario,message
West Yorkshire,12,8,7,0,1,5,4,13,Leeds,SCENARIO_MANUAL_RERUN,West Yorkshire manual rerun: 8 previously SELECTED row(s) retained and 2 manual_select row(s) applied; 8/12 selected. Cap treated as a maximum; auto backfill disabled.
South Yorkshire,12,8,6,2,0,0,4,8,Sheffield,SCENARIO_MANUAL_RERUN,South Yorkshire manual rerun: 8 previously SELECTED row(s) retained and 1 manual_select row(s) applied; 8/12 selected. Cap treated as a maximum; auto backfill disabled.
