family,region,review_threshold_gbp,notes
default,London,35000,Legacy shared threshold retained for families without a specific policy
default,Sussex,35000,Legacy shared threshold retained for families without a specific policy
default,Hampshire,35000,Legacy shared threshold retained for families without a specific policy
default,Surrey,35000,Legacy shared threshold retained for families without a specific policy
default,Kent,35000,Legacy shared threshold retained for families without a specific policy
default,DEFAULT,30000,Legacy shared threshold for all other regions and families
admin_service,London,42000,Admin/Service salary review point agreed 2026-09-25
admin_service,DEFAULT,37000,Admin/Service salary review point agreed 2026-09-25; all regions outside London
