display_reference,title,area,location,ontap_geo_cluster,assessable_market,in_uk_market_universe,jobg8_classification,salary_minimum_raw,salary_maximum_raw,salary_period,annualised_minimum_estimate,annualised_maximum_estimate,description_annualised_maximum_estimate,salary_evidence_source,salary_bucket,discovery_source,description_signal_count,description_signals,provisional_decision,provisional_reason,description_excerpt,content_dedupe_key,dedupe_key,is_duplicate,is_content_duplicate
23643_225506440,Warehouse Stock Clerk,Corby,Northamptonshire,Northamptonshire,Northamptonshire,YES,Administration,13.06,13.44,Hourly,25467.0,26208.0,,structured,£25k–£30k,TITLE,1,stock control,LIKELY_IN,family title is a strong inclusion signal,"<strong>Job Title: </strong>Warehouse Stock Clerk<strong><br>Location: </strong>Corby<strong><br>Pay Rate: </strong>Earn 13.06 to 13.44 p/h<br><strong>Shifts: </strong>Rotating Shifts (AM + PM available)<strong><br>Experience: </strong>3 months experience in a similar role essential<br><strong>Contract: </strong>Temp to Perm after 12 weeks<br><br>Nexus People<strong> </strong>are seeking a proactive and detail-oriented Stock Clerk to support our warehouse operations across inbound, outbound, and stock administration. This hands-on role requires excellent organisational skills, a customer-focused mindset, and the ability to manage multiple priorities in a fast-paced environment.<br><br>To be ",7fbbb2bc4fc6c931,ref:23643_225506440,False,False
23643_225510013,Stock Assistant,Chipping Norton,Oxfordshire,Oxfordshire,Oxfordshire,YES,Retail & Consumer Products,13.12,13.12,Hourly,25584.0,25584.0,,structured,£25k–£30k,TITLE,0,,LIKELY_IN,family title is a strong inclusion signal,"Vacancy Specification<br>At Aldi, no day is the same. Every day brings something new - you'll be at the heart of the store, ensuring everything runs seamlessly. From receiving deliveries and stocking shelves to assisting customers and creating a welcoming atmosphere, your role is vital. Become part of a fast paced, friendly team where every colleague contributes to creating an exceptional shopping experience.<br><strong><br>Key Responsibilities</strong><br>• Provide friendly, efficient customer service<br>• Stock shelves quickly and present products to look their best<br>• Check deliveries and product quality, removing items that don't meet Aldi standards<br><br><strong>Skills & Experience</",e49079e360c8a0d6,ref:23643_225510013,False,False
23643_225514443,Administrator,Cambourne,Cambridgeshire,Other / Unknown,Other / Unknown,NO,Administration,26000.00,30000.00,Annual,26000.0,30000.0,,structured,£25k–£30k,DESCRIPTION,2,goods in; goods out,BORDERLINE,description-led family signal needs advert review,"<p><strong>Administrator</strong></p><ul><li><strong>Location:</strong> Caxton, Cambridgeshire</li><li><strong>Job Type:</strong> Full-time (On-site)</li><li><strong>Salary:</strong> 26,000 - 30,000pa dependent on experience</li></ul><p>Reed are working with a great company who are seeking an Administrator to provide effective administrative and operational support at their depot/branch. This role is crucial for ensuring accurate processing of documentation, maintaining stock records, handling customer enquiries and supporting day-to-day business activities. The ideal candidate will have strong organisational skills, attention to detail and a commitment to teamwork.</p><p><strong>Day-to-day ",5f29ebf59ca0b559,ref:23643_225514443,False,False
23643_225517943,"IT Project Manager - SAP Supply Chain, WMS, DC",Not Specified,Not Specified,Other / Unknown,Other / Unknown,NO,I.T. & Communications,600.00,720.00,Daily,,,,missing,missing/unknown,TITLE,1,warehouse management system,OUT_SPECIALIST,specialist/senior title boundary,"<p><strong>IT Project Manager - Supply Chain, WMS, SAP</strong></p><p><strong>Location:</strong> Fully Remote (UK based)<br> <strong>Duration:</strong> Initial 6-12 Months<br> <strong>Rate:</strong> Up to 720 a day (Inside IR35)</p><p><strong> </strong><strong>About the Opportunity</strong></p><p> We are seeking an experienced <strong>IT Project Manager - SAP Supply Chain </strong>to lead the delivery of a portfolio of supply chain, compliance and operational technology initiatives within a complex global environment.</p><p> This role is ideal for a delivery-focused Project Manager who can quickly establish control, manage competing priorities and coordinate cross-functional teams across bus",41577dcbd0815fbd,ref:23643_225517943,False,False
23643_219418271,Export Sales Coordinator,Not Specified,Essex,Essex,Essex,YES,Administration,22000.00,24000.00,Annual,22000.0,24000.0,,structured,<£25k,TITLE,1,shipping documentation,OUT_SPECIALIST,specialist/senior title boundary,"<p>My client and international import and export business is looking to recruit an Sales Coordinator to be responsible for maintaining and improving customer service levels for a number of offshore accounts within the group and providing office and sales support to field-based Account Managers.</p> <p>As the Sales Coordinator you will be processing and despatching orders, maintaining accounts administration, ie backorders, booking in deliveries etc and liaising with Sales Reps, other sales co-ordinators and internal departments.</p> <p>The role will require all enquiries relating to existing/new accounts are dealt with on a daily basis and account requests and acted upon and communicated to ",56ddf8a22a60555e,ref:23643_219418271,False,False
23643_225519683,Stock Administrator,St. Ives,Cambridgeshire,Cambridgeshire,Cambridgeshire,YES,Administration,13.00,13.50,Hourly,25350.0,26325.0,26325.0,structured,£25k–£30k,TITLE,0,,LIKELY_IN,family title is a strong inclusion signal,"<p>My client based in St Ives, Cambridgeshire is currently recruiting for an administrator to join their team on a full time temporary basis.</p><p><strong>Hours:</strong> Monday to Friday, 8:00am 5:00pm.</p><p><strong>Hourly rate:</strong> £13-13.50 per hour</p><p><strong>Stock Taking & Administration:</strong></p><ul> <li>Carry out weekly stock taking and reconciliation across the plant when required.</li><li>Monitor raw materials, pallets, colours, packaging materials and filters.</li><li>Manage general email enquiries, filing, printing and laminating.</li><li>Assist with contractor arrangements and meeting requirements.</li><li>Arrange document archiving and collections.</li><li>Book poo",3df03e695b8e5f35,ref:23643_225519683,False,False
23643_225522869,Transport Administration Assistant,Not Specified,Northamptonshire,Northamptonshire,Northamptonshire,YES,Administration,14.56,14.56,Hourly,28392.0,28392.0,,structured,£25k–£30k,TITLE,1,transport administration,BORDERLINE,description-led family signal needs advert review,"<strong>Pertemps are recruiting on behalf of our client based in Grange Park, Northampton for a Transport Administration Assistant to join their busy transport and logistics team.<br><br></strong><strong>Location:</strong> Grange Park, Northampton<br><strong>Salary:</strong> 14.56 per hour<br><strong>Hours:</strong> Monday to Friday, 10:00am to 6:30pm<br><strong>Contract:</strong> Full-time, Ongoing Opportunity <br><br>This is an excellent opportunity for an organised and detail-oriented individual who enjoys working in a fast-paced environment and supporting transport operations.<br><br><strong>Key Responsibilities</strong><br><br><ul><li>Providing administrative support to the Transport De",a69bd28d52254a6b,ref:23643_225522869,False,False
107878611,Trainee Fine Art Freight Forwarding Agent,Bagshot,Surrey,Surrey,Surrey,YES,Call Centre / CustomerService,24000.00,24000.00,Annual,24000.0,24000.0,,structured,<£25k,TITLE,1,freight forwarding,BORDERLINE,description-led family signal needs advert review,"<p>A new opportunity is available for a <strong>Fine Art Freight Forwarding Agent</strong> (Trainee) to join an established specialist fine art logistics business based in Bagshot.</p><p>This is an excellent opportunity for a <strong>college leaver or second jobber</strong> looking to start a long-term career within the fine art freight forwarding and logistics industry click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?bZCSDJyF3N4i4mBAxItAPHEx1jjIA7IUq"" width=""0"" height=""0"" />",e548044f4578ca24,ref:107878611,False,False
23643_225533642,Freight Co-Ordinator,Avonmouth,Bristol,Other / Unknown,Other / Unknown,NO,Administration,,,Annual,,,,missing,missing/unknown,TITLE,3,transport administration; logistics administration; freight forwarding,LIKELY_IN,family title is a strong inclusion signal,"<p>Freight Coordinator</p><p><strong> 26000 to 30,000 per annum, Permanent, 09:00am to 17:30pm M-F, BS35 Severn Beach, Bristol, 31 days Holiday, Bonus, Pension, Health plan, Eye care, On site Parking and employee shares plan</strong></p><p><strong> </strong></p><p>Expanding, forward thinking and team orientated, A multi-billion pound global freight forwarding business who are actively recruiting for a freight coordinator to join their team. With 350 office's worldwide, this will see you working in their brand new, purpose built offices playing a vital part within their team : </p><ul><li>Tracking and maintaining smooth running of freight process. </li><li>Accurate data entry of freight infor",df13d295712c92c2,ref:23643_225533642,False,False
23643_225537102,Transport Admin (Days),Not Specified,Nottinghamshire,Nottinghamshire,Nottinghamshire,YES,Administration,13.26,13.26,Hourly,25857.0,25857.0,,structured,£25k–£30k,TITLE,0,,LIKELY_IN,family title is a strong inclusion signal,"Pertemps Lincoln are currently recruiting for a Transport Administrator to work day shifts for our client's busy logistics operation in based in Newark. This is a fantastic opportunity to join a well-established company in a key coordinating role within its transport and operations team. You will be required to days on a 4 on 4 off shift pattern.<br><br>Full training will be provided, so if you're organised, proactive, and comfortable working in a fast-paced environment, we'd love to hear from you.<br><br><strong>How much will I earn?</strong><br><br>You will be paid 13.26 per hour.<br><br><strong>What hours will I be working?</strong><br><br>You will be required to work a 4 on 4 off shift p",a0a62e5cfec9ee1e,ref:23643_225537102,False,False
