market,display_reference,title,decision,reason,salary_bucket,jobg8_classification,description_excerpt
Yorkshire - North,107863418,Payroll Manager,OUT_SALARY,"annualised salary exceeds £45,000",">£45,000 OUT",Accounting,"<p>About the Company</p><p>Our client is a UK-wide building improvement and management group headquartered in Harrogate, bringing together specialist businesses across facilities management, passive fire protection, refurbishment, maintenance, and energy-saving solutions.</p><p>With more than 600 employees and annual revenues exceeding £75 million, the group delivers essential services that help make buildings saf click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?Y5CHIaMSKAzGN%2f8waI5agL4qcwkHHYaUv"" width=""0"" height=""0"" />"
Yorkshire - North,107786000,Accounts Semi Senior,BORDERLINE,description-led family signal needs advert review,£25k–£30k,Accounting,"<p>Accounts Semi-Senior</p><p>Location: Central Harrogate</p><p>Contract: Permanent</p><p>Salary: Circa £25,000-28,000 DOE</p><p>Working Pattern: Full-time</p><p>A well-established and growing independent accountancy practice based in central Harrogate is seeking an Accounts Semi-Senior to join its friendly and supportive team.</p><p>This opportunity would suit someone with around 12 years experience within an accountancy practice environmen click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?MQiKzVwZdh33KgTadEoCyl9KDN8p4tcBu"" width=""0"" height=""0"" />"
Yorkshire - North,1688684,People and Payroll Assistant,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,Accounting,"<p><strong>People and Payroll Assistant</strong></p> <p><strong>About Us</strong></p> <p>Yorkshire is one of the regions hardest hit by cancer. Together, we can change this.</p> <p>Yorkshire Cancer Research is a charity dedicated to funding research so that you and those you love live longer healthier lives, free of cancer.</p> <p>Thanks to supporters, the charity funds vital cancer research and pioneers innovative new services for people with cancer. These life-giving medical breakthroughs are helping more people survive cancer - in Yorkshire, and beyond.</p> <p>As an inclusive employer, our aim is to ensure our workforce reflects the rich diversity of our region. We believe a diverse workf"
Yorkshire - North,107804808,Asset Finance BDM Soft Assets,OUT_SALARY,"annualised salary exceeds £45,000",">£45,000 OUT",Sales & Marketing,"<p>Barnes Roffe Recruitment has partnered with a Tier 1 Asset Finance House that is looking to add an additional Sales person to their team in Northern England. Your territory will focus on Northern England, specifically Yorkshire up to the Newcastle</p><p>Our Client has already won and established successful programmes with some very high profile clients click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?QHpHeWTcrP5uDvH4rscmDBYYUMHr0MKzy"" width=""0"" height=""0"" />"
Yorkshire - North,107879866,Sales Ledger,BORDERLINE,description-led family signal needs advert review,£25k–£30k,Accounting,"The Sales Ledger Administrator is responsible for maintaining the accuracy and integrity of the sales ledger, ensuring customer accounts are up to date through accurate processing and reconciliations. The role supports the Finance team by processing sales transactions, resolving account queries, and providing cover for the Purchase Ledger function during periods of annual leave or sickness absence click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?eq2PR%2bX5ctxF6r8Ttig7AF1Tm%2fdMUH%2bzp"" width=""0"" height=""0"" />"
Yorkshire - North,107893034,Finance Assistant - 12 month contract,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,Banking & Financial Services,"<p>Our client is looking to appoint a Finance Assistant to join their friendly and collaborative team at their offices on the outskirts of Richmond, North Yorkshire.</p><p>This is a 12-month maternity cover contract, ideally starting in November to allow for a thorough handover before the current Finance Assistant begins maternity leave in December click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?31Q%2fsvDzOVYQIG6RKe60VoHMlCRd1Ay0j"" width=""0"" height=""0"" />"
Yorkshire - North,107771451,Accounts Assistant,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,Accounting,"<p>We are recruiting an experienced <strong>Accounts Assistant </strong>for a privately backed, <strong>multi</strong>-<strong>site </strong>business that is <strong>growing </strong>both <strong>organically </strong>and via <strong>acquisitions</strong>. This is a <strong>newly created </strong>role to <strong>support </strong>the finance team and the wider business:</p><ul><li><strong>Competitive salary + additional employee benefits click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?MQiKzVwZdh0X3fcAtoa2MWJArjIFOEHRu"" width=""0"" height=""0"" />"
Yorkshire - North,107798375,Ledger Clerk,BORDERLINE,description-led family signal needs advert review,£25k–£30k,Accounting,"<p>Optimum Recruitment Group have been appointed on an exclusive basis to recruit either a part time or a full time Ledger Clerk/Office Administrator for our successful growth client based in Ripon.</p><p>You will be responsible for the supporting of processing sales orders, and to ensure the smooth flow of customers orders through the system, as well as maintaining various other office records and data bas click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?nbYVUHO1tX7u0lEvFdHTkcF8MT6f%2bsofz"" width=""0"" height=""0"" />"
Yorkshire - North,107760736,Accounts Assistant,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,Accounting,"<p><strong>About the role </strong></p><p>We are excited to be recruiting for an Accounts Assistant. This is an unrivalled opportunity to join one of the UK's fastest growing motor groups.</p><p>As an Accounts Assistant, you will report to the Branch Accountant and will be responsible for the daily processing of key accounts functions such as cash, bank, purchase ledger and sales ledger click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?d1vRzEYF65Rf%2fEZs6DrIqN0AzbYXp0TIx"" width=""0"" height=""0"" />"
Yorkshire - North,107896355,Financial Controller,OUT_SALARY,"annualised salary exceeds £45,000",">£45,000 OUT",Accounting,"We are working with a growing healthcare groupthat has reached £7m t/o and is now looking to appoint their first financial controller to bring the accounts in house having utilised their external accounants to date.<br><br>This role is based in York with hybrid working and offers a 32 hour working week. There is a highly competive salary and performance related bonus click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?Yic9job4bS9Dwy55ws9QQlkgShZPfqa3c"" width=""0"" height=""0"" />"
Yorkshire - North,107832814,"Finance Analyst, Supply Chain",OUT_SPECIALIST,specialist/senior title boundary,missing/unknown,Banking & Financial Services,"<strong>Position Title:</strong>Finance Analyst, Supply Chain<br><br><strong>Position Type:</strong> Regular - Full-Time <br><br><strong>Requisition ID:</strong> 43372 <br><br><strong>Finance Analyst (Supply Chain)</strong><br><br>Scarborough- Hybrid<br><br>In every role, McCainers are ambitious, curious, and passionate about creating exceptional work experiences - together click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?Zg1fD7qgbpyPrNGTe2upNotXw7CRdEfre"" width=""0"" height=""0"" />"
Yorkshire - North,107893148,Accounts Assistant,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,Accounting,"Full job description <p>We are seeking a detail-oriented and organised Accounts Assistant to join a Northallerton-based business. You will be responsible for accurately recording transactions, issuing invoices, reconciling customer accounts, and supporting the wider finance team with accounts receivable functions. This is a key role in ensuring the accuracy and efficiency of financial operations and c click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?31Q%2fsvDzOVaLyie%2bhogEa9Jtp87tv2wBj"" width=""0"" height=""0"" />"
Yorkshire - North,107893806,Financial Accountant,OUT_SPECIALIST,specialist/senior title boundary,"£40k–£45,000",Accounting,"<p><b> The Business & Opportunity: </b></p><p> Fantastic opportunity to join a market-leading and successful three-generational family-run business. Operating across the horticultural manufacturing sector, they have a proud heritage and a strong commitment to innovation, sustainability and quality. Spread across multiple production sites in Yorkshire, they are regarded as one of the most reputable businesses in their click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?b0ZSEQFKUCJ%2fmdxWhJWStl7rMOuFwJmql"" width=""0"" height=""0"" />"
Yorkshire - North,107743190,Accounts Administrator,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,Banking & Financial Services,"<p> <b>Accounts Administrator</b> </p><p><b>£29k with a 6 month review</b></p><p><b>York (YO26)</b></p><p><b>Looking to buildyour career infinance with asupportive employer?</b></p><p>We're working witha well-establishedandsuccessful business onthe outskirts ofYork to recruitaAccounts Administrator. This is anexcellent opportunity tojoin a friendlyfinance team whereyou'll gain exposureto a variedrole and havethe chance todevelop your skillswithin a stablean click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?6WDmO0cNttovh8DdHqz6DWJcdB4ZwOpRa"" width=""0"" height=""0"" />"
