display_reference,title,current_decision,current_reason,jobg8_classification,ontap_region,salary_minimum_raw,salary_maximum_raw,salary_period,annualised_maximum_estimate,hard_salary_out_over_50k,description_evidence,manual_boundary_decision,manual_boundary_note
23643_225445445,Legal Secretary (Court),LIKELY_IN,ordinary workplace IT support title signal,Administration,Scotland Central - Tayside,28800.00,35200.00,Annual,35200.0,NO,"Looking for a role where your organisational skills and legal knowledge can shine? As a Legal Secretary specialising in court matters, you'll provide essential support to legal professionals, helping to ensure the smooth running of cases in a busy professional services environment based in Perth. Client Details This position is within the professional services industry, located in Perth. Description Prepare and format court documents with accuracy and attention to detail. Manage diaries and schedule court appearances efficiently. Handle correspondence and communication with clients, courts, and legal professionals. Maintain and update case files and legal records systematically. Support legal professionals with administrative tasks and document management. File court documents and liaise with court officials as required. Ensure compliance with legal procedures and deadlines. Provide a high level of administrative support to the legal team. Profile A successful Legal Secretary (Court) should have: Experience in a legal secretary role within a court or legal environment. Strong knowledge of legal terminology and court procedures. Excellent organisational and time management skills. P…",,
2047970,Paralegal/Legal Secretary - Belfast,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,,,Annual,,NO,"Honeycomb is delighted to be partnering with a respected South Belfast law firm to recruit a Conveyancing Legal Secretary or Property Paralegal to support a Senior Solicitor within its busy property team, offering excellent long-term career prospects. The Opportunity If you're an experienced Conveyancing Legal Secretary or Property Paralegal looking for your next move, this role offers the chance to work closely with a Senior Solicitor, supporting a varied residential conveyancing caseload. From instruction through to post-completion, you'll play a key role in ensuring transactions progress efficiently while delivering an exceptional service to clients. About the Firm Our client is a well-established legal practice with an excellent reputation for delivering high-quality legal services across Northern Ireland. Known for its collaborative culture and commitment to client care, the firm provides a welcoming environment where employees are genuinely valued and supported in building long-term careers. Salary & Benefits Competitive salary depending on experience 20 days annual leave plus statutory holidays Additional office closure over Christmas, not deducted from annual leave entitlem…",,
23643_225454130,Legal Assistant,LIKELY_IN,ordinary workplace IT support title signal,Administration,Devon,25353.00,26000.00,Annual,26000.0,NO,"An exciting opportunity to join one of the city's successful law firms has arisen. This role will be to join the firm's Wealth Management team as a Legal Assistant, supporting the team and the partners with a range of different administrative and secretarial tasks. This opportunity doesn't require legal experience as such, but will require someone good with IT skills and the Microsoft Suite, with a good attitude and an interest in law. Some previous administration experience would definitely act as an advantage. Tasks will include: Opening and closing client files Archiving files Audio and copy-typing Proof reading documents to ensure accuracy Updating dictated work Responding to client enquiries, either by email or phone Document production Retrieving and storing files for clients / lawyers at request General other administrative tasks Skills and experience required: Some administrative experience would be an advantage Excellent IT skills and knowledge of the Microsoft Office Suite (Outlook, Word and Excel) A genuine interest in law A good attitude and a supportive approach for the team Hours and Benefits: Monday to Friday = 08:45 - 17:00 Hybrid and flexible working available (cir…",,
107724359,Debt Advice Caseworker,BORDERLINE,support title needs advert-context review,Healthcare & Medical,Other / Unknown,28000.00,28000.00,Annual,28000.0,NO,"Debt Advice Caseworker (Ex-Offender Support) Based acrossBridlington and Scarborough Up to £30,000 per year Full-time, Permanent About the role We are recruiting an experienced Debt Advice Caseworker to support people with complex financial situations, including problem debt, benefit issues and financial instability, within probation services, activity hubs and prison settings click apply for full job details",,
23643_225461671,Probate Administrator,BORDERLINE,description-led IT support signal needs advert review,Administration,London,25000.00,25000.00,Annual,25000.0,NO,"Probate Administrator South Croydon Permanent Full-Time Salary: Competitive and dependent on experience We are seeking an experienced and highly organised Probate Administrator to join our busy and growing probate team. This is an excellent opportunity for a knowledgeable probate professional who can hit the ground running and play a key role in supporting the efficient administration of estates. Due to increasing workload and business demand, we are looking for a committed individual with genuine hands-on probate experience who can manage case files confidently while delivering an excellent client experience. The Role As a Probate Administrator, you will be responsible for supporting the administration of estates from initial instruction through to completion. You will work closely with clients, financial institutions, and other third parties to ensure matters are progressed efficiently and accurately. This role requires someone with practical probate administration experience and the ability to manage their workload independently within a supportive team environment. Key Responsibilities Setting up new probate files and managing case administration from instruction through to com…",,
23643_225465059,Property Litigation Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,Hertfordshire,30000.00,35000.00,Annual,35000.0,NO,"Our client is looking to recruit a Property Litigation Paralegal to join their established Property Litigation team based in Ware. Working alongside experienced fee earners within a team of around 20, you will play a key role in supporting a varied caseload of property litigation matters. This is an office based position offering the opportunity to develop your experience within a supportive and well-structured team. Typical duties include: Assist fee earners with a caseload of defendant property litigation matters Draft legal documents, correspondence and court forms Prepare case files, bundles and supporting documentation Liaise with clients, solicitors, courts and other third parties Maintain accurate case records and provide general administrative support throughout the litigation process The successful candidate will have: Previous experience working as a Paralegal within property litigation Strong organisational skills with the ability to manage competing priorities Excellent written and verbal communication skills A proactive approach with strong attention to detail The ability to work effectively as part of a collaborative team Please apply via the advert or contact Calum S…",,
23643_225463787,Private Client Legal Secretary / Legal Support Assistant,LIKELY_IN,ordinary workplace IT support title signal,Legal,Shropshire,25000.00,26000.00,Annual,26000.0,NO,"Private Client Legal Secretary / Legal Support Assistant Location: Shrewsbury (Office Based) Salary: 25,000 - 26,000 Are you an experienced Legal Secretary or an organised administrator looking to build a long-term career within a respected legal practice? We are recruiting on behalf of our client for a proactive and detail-oriented individual to provide essential support to their busy Private Client team in Shrewsbury. Key Responsibilities Provide comprehensive administrative and secretarial support to the Private Client department. Prepare, format and manage legal documents, correspondence and client files. Assist fee earners with day-to-day administrative tasks to ensure the smooth running of the department. Maintain accurate records, organise documentation and support effective office processes. Handle general office administration while delivering a professional service to clients and colleagues. About You Previous experience as a Legal Secretary or within a strong administrative or clerical support role. Experience within Private Client is desirable, although candidates with experience in other areas of law will also be considered. Background working within a legal practice o…",,
23643_225464820,Trainee Legal Secretary,LIKELY_IN,ordinary workplace IT support title signal,Legal,Lincolnshire,25000.00,28000.00,Annual,28000.0,NO,"Trainee Legal Secretary Location: Spalding, Lincolnshire (on-site) Job Type: Full-time Permanent Our client, a well-established and highly respected law firm based in Spalding, is seeking a Trainee Legal Secretary to join their friendly and supportive team. This is an excellent opportunity for someone looking to start a long-term career within the legal sector. No previous legal experience is required, as full training will be provided. If you are organised, eager to learn and have excellent communication skills, this could be the perfect role for you. The Role As a Trainee Legal Secretary, you will work closely with experienced legal professionals, providing administrative and secretarial support while gaining valuable hands-on experience in a busy legal environment. Key responsibilities include: Preparing legal correspondence and documents. Audio and copy typing. Answering telephone calls and assisting clients in a professional manner. Managing diaries and arranging appointments. Opening, maintaining and closing client files. Filing, scanning and general administrative duties. Liaising with clients, courts and other professional organisations. Supporting solicitors and other memb…",,
23643_225463224,Conveyancing Assistant,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,25000.00,27000.00,Annual,27000.0,NO,"Conveyancing Assistant Location: Leeds Salary: 25,000 - 28,000(DOE) Hours: Mon - Fri, Full Time The Role We are seeking an experienced Conveyancing Assistant to support a busy property team. You will assist with a variety of administrative and case management tasks, including opening and closing files, processing correspondence, preparing documentation, and maintaining accurate client records. You will work with a range of property and legal systems, liaise with clients and third parties, and help ensure transactions progress smoothly from instruction through to completion. Providing excellent client service and maintaining attention to detail will be key to success in this role. Essential Skills Minimum 1 years' experience within a conveyancing environment Strong organisational and administrative skills Experience using case management systems Ability to prioritise effectively in a fast-paced workload Professional, accurate, and methodical approach Excellent written and verbal communication skills Proactive attitude and strong team-working skills Benefits Supportive and collaborative team environment Opportunities for professional development and career progression Opportunity for…",,
23643_212942802,Legal Secretary,LIKELY_IN,ordinary workplace IT support title signal,Legal,Bedfordshire,26000.00,27000.00,Annual,27000.0,NO,"Legal Secretary - Private Client - Solicitors - Luton up to £27000 depending on experience Hello Recruitment is pleased to be recruiting a Legal Secretary position to work on the Private Client side of a well established firm of solicitors in Luton, Bedfordshire. T The client is looking for someone who has undertaken secretarial duties within a legal practice ot someone who can demonstrate good a administration skills that may have a legal slant to it. You will be part of a warm and friendly team that have a community ethos about them and like to help local charities. The salary will be between £26000 & £27000 depending on experience for this unique opportunity.",,
