month,region,region_scope,category,existing_live_page,recommendation,recommendation_reason,total_jobs,feed_days,days_seen,seen_ratio_pct,average_daily_count,minimum_daily_count,maximum_daily_count,days_with_6_plus,days_with_12_plus,first_five_day_average,last_five_day_average,direction_change_pct,decline_type,decline_explanation,unique_title_count,unique_company_count,unique_location_count,top_titles,top_companies,top_1_company_share_pct,top_2_company_share_pct,concentration_risk,credible_slice,manual_review_pilot
2026-07,Nottinghamshire,lookup_region,broader_office_administration,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; mainly large campaigns disappearing,6,14,8,57.1,1.57,0,5,0,0,3.2,0.0,-100.0,mainly_large_campaigns_disappearing,"Top early advertiser(s) TEMPLEGATE RECRUITMENT, DAVID JAMES PARTNERSHIP LTD account for approximately 69% of the measured decline.",6,5,2,Pension and Investment Administrator (7); Junior IFA Administrator (7); Customer Service Administrator (3); Administrator and Contracts Coordinator (3); IFA Administrator (1); Administrator (1),TEMPLEGATE RECRUITMENT (8); DAVID JAMES PARTNERSHIP LTD (7); SF Partners (3); AWD Online (3); Reed (1),36.4,68.2,MEDIUM,False,False
2026-07,"North East - Tyneside, Wearside & Northumberland",lookup_region,broader_office_administration,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,2,14,14,100.0,1.5,1,2,0,0,2.0,1.0,-50.0,mainly_large_campaigns_disappearing,"Top early advertiser(s) NJR Recruitment, Future Select account for approximately 100% of the measured decline.",2,2,2,Asbestos Administrator / Project Coordinator (14); IFA Administrator (7),Future Select (14); NJR Recruitment (7),66.7,100.0,HIGH,False,False
2026-07,unknown,lookup_region,residential_childcare_children_support,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,3,14,14,100.0,1.5,1,3,0,0,2.4,1.0,-58.3,mainly_large_campaigns_disappearing,"Top early advertiser(s) SCR Recruitment Services, Active Care Group account for approximately 71% of the measured decline.",3,3,1,Children's Residential Support Worker (14); Children's Support Worker (5); Residential Support Worker - Children's Home (2),SCR Recruitment Services (14); Active Care Group (5); Candidate Source Ltd (2),66.7,90.5,HIGH,False,False
2026-07,Cheshire - Warrington & Halton,lookup_region,care_assistant_healthcare_assistant,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,4,14,9,64.3,1.5,0,4,0,0,3.0,0.0,-100.0,mainly_large_campaigns_disappearing,"Top early advertiser(s) Comfort Call Limited, Exemplar Health Care account for approximately 87% of the measured decline.",3,3,4,Care Assistant (10); Nights Health Care Assistant (9); Care Assistant - Care Home (2),Comfort Call Limited (10); Exemplar Health Care (9); Barchester Healthcare (2),47.6,90.5,HIGH,False,False
2026-07,Bristol & Bath,lookup_region,residential_childcare_children_support,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,3,14,13,92.9,1.43,0,2,0,0,0.8,1.8,125.0,no_meaningful_decline,,3,2,2,Youth Support Worker (In School Support) (13); Residential Childcare Support Worker (Sessional/Casual) (5); Residential Childcare Support Worker (2),Teaching Personnel (13); Headway (7),65.0,100.0,HIGH,False,False
2026-07,Nottinghamshire,lookup_region,care_assistant_healthcare_assistant,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,4,14,10,71.4,1.43,0,3,0,0,2.4,1.0,-58.3,mainly_large_campaigns_disappearing,Top early advertiser(s) Comfort Call Limited account for approximately 100% of the measured decline.,1,2,3,Care Assistant (20),Comfort Call Limited (15); Beaumond House Hospice Care (5),75.0,100.0,HIGH,False,False
2026-07,Essex,lookup_region,residential_childcare_children_support,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,3,14,14,100.0,1.43,1,3,0,0,2.2,1.0,-54.5,mainly_large_campaigns_disappearing,Top early advertiser(s) SCR Recruitment Services account for approximately 100% of the measured decline.,2,1,3,Childrens Residential Support Worker (17); Residential Child Support Worker (3),SCR Recruitment Services (20),100.0,100.0,HIGH,False,False
2026-07,Surrey,lookup_region,residential_childcare_children_support,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,4,14,14,100.0,1.43,1,3,0,0,2.0,1.0,-50.0,mainly_large_campaigns_disappearing,"Top early advertiser(s) SCR Recruitment Services, Apple Orchard account for approximately 60% of the measured decline.",4,3,2,Childrens Residential Support Worker (14); Residential Childcare Support Worker (Casual) (3); Residential Support Worker - Children's Home (2); Residential Childcare Support Worker (1),SCR Recruitment Services (14); Apple Orchard (4); Candidate Source Ltd (2),70.0,90.0,HIGH,False,False
2026-07,North Wales - West,lookup_region,broader_office_administration,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,3,14,8,57.1,1.43,0,3,0,0,2.0,0.0,-100.0,mainly_large_campaigns_disappearing,"Top early advertiser(s) Honeycomb Jobs Ltd, Lynda Jacobs Recruitment account for approximately 100% of the measured decline.",3,2,1,Medical Receptionist (16.5 hrs pw) (8); Band 2 Administrator temporary Full Time (6); Information Governance Administrator(Temp) (6),Honeycomb Jobs Ltd (12); Lynda Jacobs Recruitment (8),60.0,100.0,HIGH,False,False
2026-07,Northern Ireland - West,lookup_region,care_assistant_healthcare_assistant,no,WATCH,insufficient persistence; average below 6 jobs/day; severe advertiser concentration; mainly large campaigns disappearing,5,14,8,57.1,1.43,0,5,0,0,2.4,0.0,-100.0,mainly_large_campaigns_disappearing,"Top early advertiser(s) Macklin Care Homes Ltd, MPA Recruitment account for approximately 83% of the measured decline.",5,3,4,Healthcare Assistant (8); Residential Care Assistant Day Shift- Ratheane (8); Residential Care Assistant Night Shift - Ratheane (2); Care Assistant - Lurgan (1); Care Assistant - Dungannon (1),Macklin Care Homes Ltd (10); MPA Recruitment (8); First Choice Selection Services (2),50.0,90.0,HIGH,False,False
