source,tracking_key,title,employer,location,salary_text,closing_date,description_excerpt,apply_url,classification,classification_reason,geography_status,geography_reason,ontap_geography,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,external_check,external_candidate_source,external_candidate_title,external_candidate_employer,external_match_score,bvsc_duplicate_check,source_job_id,source_url,detail_status,manual_action,final_decision
BVSC Charity Jobs West Midlands,bvsc-dfe3d2abc71f6bcd,Personalisation Budget Performance and Insight Lead,Birmingham Voluntary Service Council,,,"Tuesday 25th August, 10am.","Birmingham Voluntary Service Council, Personalisation Budget Performance and Insight Lead. Closing Date: Tuesday 25th August, 10am. Job Title : Personalisation Fund Performance and Insight Lead Salary : SPC 36 (£34,840 ) Responsible to : Head of Multiple Disadvantage Location : Working hours divided between BVSC Offices (Latham House, 33 – 34 Paradise Street Birmingham, B1 2AJ) and home address, as agreed by BVSC Hours of work : 35 hours Contract 12 months fixed term Personalisation Fund Performance and Insight Lead • Could your insight help transform lives? • Do you enjoy turning data into meaningful action and service improvement? • Are you passionate about working with partners to improve outcomes for people experiencing homelessness and multiple disadvantage? If so, we'd love to hear from you! We're looking for a skilled and motivated Personalisation Budget Performance and Insights Lead to oversee the performance, monitoring and continuous improvement of the Greater Change Personalisation Fund. This innovative £1 million partnership between Birmingham City Council, Greater Change and Birmingham Voluntary Service Council (BVSC) aims to improve outcomes for people who are homeles",,HARD_PASS,No sufficient admin/service evidence,IN_SCOPE,Explicit Birmingham location,Birmingham & Solihull,NO_MATCH,Clinical Sales Account Manager - Northeast,Harrington Recruitment,0.294,NO_MATCH,NEJobs,Receptionist/Student Services,,0.200,,dfe3d2abc71f6bcd,https://www.bvsc.org/vacancy-personalisation-budget-performance-and-insight-lead,live,,REVIEW_ONLY
BVSC Charity Jobs West Midlands,bvsc-0142ef274a812144,Project Assistant,Birmingham Care Group,,,On recruitment of candidate.,"Birmingham Care Group, Project Assistant. Closing Date: On recruitment of candidate. We are looking for candidates who: - Love food and feeding people - Are creative and like thinking on their feet - Enjoy being part of a hard working team - Enjoy a fast paced environment with a healthy buzz - Want to spend time with other people and get stuck in to community focused work. Apply here Within the hub and café you will be required to:​ - Provide excellent customer service to our café visitors. - Take customer orders, prepare food and drink to required standards. - Managing cash and card payments - Monitor stock levels ensuring shortages are reported so they can be replenished. - Ensure all café equipment is in good working order, reporting any faults/issues promptly. - Ensure all relevant food safety instructions are adhered to. - Maintain the cleanliness/tidiness of the cafés and areas, ensuring any waste is disposed of appropriately. - Assist if needed in the food pantry - The opportunity ‘to give something back’ to your local community and join our band of hardworking, dedicated, volunteers. - Meeting new people, making new friends and being part of the Birmingham Care Group team. ",https://www.birminghamcaregroup.org/join-our-team,POSS,Borderline admin/service title: project assistant,IN_SCOPE,Explicit Birmingham location,Birmingham & Solihull,NO_MATCH,Contracts Assistant,Nigel Wright Group,0.587,NO_MATCH,NEJobs,Events Assistant,,0.364,,0142ef274a812144,https://www.bvsc.org/project-assistant,live,,REVIEW_ONLY
