month,advertiser_type,advertiser_count,unique_job_ids,feed_appearances,new_jobs_first_seen,current_live_jobs
2026-07,direct_employer,6,394,1764,394,190
2026-07,recruitment_agency,1026,3670,25843,3670,1828
2026-07,unknown,142,675,4026,675,355
