month,advertiser_type,advertiser_count,unique_job_ids,feed_appearances,new_jobs_first_seen,current_live_jobs
2026-08,direct_employer,5,341,1695,341,208
2026-08,recruitment_agency,3078,11220,41455,11220,7970
2026-08,unknown,315,2656,8307,2656,1818
