month,advertiser_type,advertiser_count,unique_job_ids,feed_appearances,new_jobs_first_seen,current_live_jobs
2026-06,direct_employer,6,2099,11475,2099,420
2026-06,recruitment_agency,1417,6021,50642,6021,2027
2026-06,unknown,201,1110,7218,1110,266
