month,normalised_title,slice,example_live_titles,total_adverts,days_active,first_day_seen,last_day_seen,average_adverts_per_active_day,peak_daily_count,unique_advertisers,unique_regions,unique_locations,top_advertisers,top_regions,first_five_day_average,last_five_day_average,first_vs_last_five_day_change_pct,trend_label,top_advertiser_share_pct
2026-07,.5-hour qualified pharmacy checking technician - permanent,unclassified,.5-hour Qualified Pharmacy Checking Technician - Permanent (16),16,16,2026-07-15,2026-07-30,1.0,1,1,1,1,Cohens Chemist (16),unknown (16),0.0,0.8,100.0,growing,100.0
2026-07,0-infants team,unclassified,0-Infants Team (7),7,7,2026-07-24,2026-07-30,1.0,1,1,1,1,Randstad Care (7),Lancashire - Blackpool & Fylde (7),0.0,0.8,100.0,growing,100.0
2026-07,11 sen learning support assistant,unclassified,11 SEN Learning Support Assistant (6),6,6,2026-07-12,2026-07-17,1.0,1,1,1,1,Ribbons and Reeves Limited (6),unknown (6),0.0,0.0,0.0,stable,100.0
2026-07,11 sen support assistant - asd & adhd,unclassified,11 SEN Support Assistant - ASD & ADHD (23),23,23,2026-07-01,2026-07-23,1.0,1,1,1,1,Ribbons and Reeves Limited (23),unknown (23),1.0,0.0,-100.0,declining,100.0
2026-07,111 clinical advisor - homeworking,unclassified,111 Clinical Advisor - Homeworking (101),101,31,2026-07-01,2026-07-31,3.26,4,1,1,1,Connaught Resourcing (101),unknown (101),3.0,3.4,13.3,stable,100.0
2026-07,111 health advisor,unclassified,111 Health Advisor (6),6,6,2026-07-25,2026-07-30,1.0,1,1,1,1,FCMS (NW) LTD (6),Lancashire - Blackpool & Fylde (6),0.0,0.8,100.0,growing,100.0
2026-07,2 x administrators - belfast,unclassified,2 x Administrators - Belfast (8),8,8,2026-07-02,2026-07-09,1.0,1,1,1,1,First Choice Selection Services (8),London (8),0.8,0.0,-100.0,declining,100.0
2026-07,3 month contract - administrator,unclassified,3 month contract - Administrator (15),15,15,2026-07-16,2026-07-30,1.0,1,1,1,1,Juice Recruitment Ltd (15),Somerset (15),0.0,0.8,100.0,growing,100.0
2026-07,3 support workers - newry,unclassified,3 Support Workers - Newry (7),7,7,2026-07-02,2026-07-09,1.0,1,1,1,1,First Choice Selection Services (7),unknown (7),0.6,0.0,-100.0,declining,100.0
2026-07,30 hour - trainee pharmacy assistants permanent contracts,unclassified,30 hour - Trainee Pharmacy Assistants Permanent Contracts (6),6,6,2026-07-22,2026-07-31,1.0,1,1,1,1,Cohens Chemist (6),Lancashire - East (6),0.0,1.0,100.0,growing,100.0
2026-07,8a advanced practitioner bms - blood transfusion,unclassified,8a Advanced Practitioner BMS - Blood Transfusion (3),3,3,2026-07-21,2026-07-30,1.0,1,1,1,1,Synlab (3),Somerset (3),0.0,0.4,100.0,growing,100.0
2026-07,999 clinical advisor,unclassified,999 Clinical Advisor (30),30,30,2026-07-01,2026-07-30,1.0,1,1,1,1,Connaught Resourcing (30),Kent (30),1.0,0.8,-20.0,stable,100.0
2026-07,"?qualified social worker, children in our care team, barnsley council",unclassified,"?Qualified Social Worker, Children in Our Care Team, Barnsley Council (5)",5,5,2026-07-24,2026-07-28,1.0,1,1,1,1,Vitalis (5),Yorkshire - South (5),0.0,0.4,100.0,growing,100.0
2026-07,aba therapist,unclassified,ABA Therapist (19),19,19,2026-07-13,2026-07-31,1.0,1,1,1,1,Tribepost Ltd (19),Scotland Central - Edinburgh & Lothians (19),0.0,1.0,100.0,growing,100.0
2026-07,"aberdeen optometrist role - up to £65,000",unclassified,"Aberdeen Optometrist Role - Up to £65,000 (31)",31,31,2026-07-01,2026-07-31,1.0,1,1,1,1,Vivid Optical (31),unknown (31),1.0,1.0,0.0,stable,100.0
2026-07,"aberystwyth optometrist role - up to £65,000 doe !",unclassified,"Aberystwyth Optometrist Role - Up to £65,000 DOE ! (10)",10,10,2026-07-01,2026-07-10,1.0,1,1,1,1,Vivid Optical (10),Wales - West (10),1.0,0.0,-100.0,declining,100.0
2026-07,"about to get your osce results? find out more - packages of up to £53,000 in kent!",unclassified,"About To Get Your OSCE Results? Find Out More - Packages of up to £53,000 in Kent! (24)",24,24,2026-07-08,2026-07-31,1.0,1,1,1,1,Vivid Optical (24),unknown (24),0.0,1.0,100.0,growing,100.0
2026-07,academic administrator,unclassified,Academic Administrator (11),11,11,2026-07-10,2026-07-20,1.0,1,1,1,1,We Do Data (11),unknown (11),0.0,0.0,0.0,stable,100.0
