decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
include,nhs-5577835,Administrator,Oxford Health NHS Trust,"Oxford, OX2 8TA",NHS Jobs,include,include,Approved conservative Oxford launch catchment.,oxford,oxford-service-administrator-jobs
include,nhs-5579704,Administrator,Oxford Health NHS Trust,"Oxford, OX3 7JH",NHS Jobs,include,include,Approved conservative Oxford launch catchment.,oxford,oxford-service-administrator-jobs
include,nhs-5573609,"Forensic Administrator - Littlemore, Oxford",Oxford Health NHS Trust,"Oxford, OX4 4XN",NHS Jobs,include,include,Approved conservative Oxford launch catchment.,oxford,oxford-service-administrator-jobs
include,teaching-vacancies-grade-6-office-administrator-3e4de74e-af8a-4ee3-b949-0a2e141ed8ab,Grade 6 Office Administrator,St Philip and James' Church of England Aided Primary School Oxford,Oxford,Teaching Vacancies,include,include,Approved conservative Oxford launch catchment.,oxford,oxford-service-administrator-jobs
exclude,jobg8-23643_225560219,Office Administrator (12-month FTC),Allen Associates - Agency - Contract,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-23643_225570239,Office Assistant - 12 month Fixed Term Contract,Allen Associates - Agency - Contract,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-1789870,Receptionist,Australasian Recruitment Company - Agency - Permanent,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-23643_225548050,Receptionist,Hamberley Care Management Limited - Company - Permanent,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-107901549,Sales & Customer Service Support Administrator,The Recruitment Group - Agency - Permanent,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-23643_225563866,Sales Administrator,Glen Callum Associates Ltd - Agency - Permanent,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-23643_225461932,Sales and Parts Administrator,K2 Recruitment - Agency - Permanent,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-23643_225476620,Scheduling Co-ordinator,DJ Doors - Agency - Permanent,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-1769321,Service Administrator,FCR PROPERTY LIMITED - Agency - Permanent,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-107842072,Service Advisor,The Solution Automotive Limited - Agency - Permanent,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-1704964,Service Coordinator,Downtown Recruitment - Agency - Permanent,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-1778720,Temporary Administrator,Berry Recruitment - Agency - Permanent,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-23643_225524539,Temporary Administrator,Berry Recruitment - Agency - Temporary,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-23643_225544143,Temporary Administrators - Register Your Interest,Allen Associates - Agency - Temporary,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
exclude,jobg8-23643_225544109,Temporary Office Assistant,Allen Associates - Agency - Temporary,Oxfordshire,JobG8,exclude,exclude,Broad county location; not Oxford-city evidence.,oxfordshire,oxford-service-administrator-jobs
