title_key,classification,hc_tier
duty manager,HARD_PASS,
early years practitioner first steps nursery st peter s hospital,HARD_PASS,
elective reform commissioning project manager,HARD_PASS,
emergency planning business resilience manager,HARD_PASS,
employee relations manager,HARD_PASS,
end user device engineer,HARD_PASS,
eprr manager,HARD_PASS,
estates officer electrical engineering supervisor,HARD_PASS,
estates support manager,HARD_PASS,
european marketing manager evidence strategy value communication,HARD_PASS,
facilities manager housekeeping,HARD_PASS,
farnham integrated care services fics manager,HARD_PASS,
finance and business manager,HARD_PASS,
finance manager,HARD_PASS,
finance manager and facilities coordinator,HARD_PASS,
finance manager business partner,HARD_PASS,
finance manager capital,HARD_PASS,
finance manager primary care,HARD_PASS,
financial control manager,HARD_PASS,
financial services manager,HARD_PASS,
fire safety manager,HARD_PASS,
freedom of information foi manager,HARD_PASS,
general manager,HARD_PASS,
general medical services gms contracts manager,HARD_PASS,
general practice manager,HARD_PASS,
general tsmm admin manager theatre stores materials management,HARD_PASS,
gesh pals manager esth,HARD_PASS,
group estates facilities cad technician band 5,HARD_PASS,
group head of organisational development and effectiveness,HARD_PASS,
group head of pmo commercial management,HARD_PASS,
group security manager band 7,HARD_PASS,
growth manager clarity healthcare,HARD_PASS,
head of analytics,HARD_PASS,
head of business planning,HARD_PASS,
head of care group,HARD_PASS,
head of category procurement diagnostics,HARD_PASS,
head of clinical effectiveness and compliance,HARD_PASS,
head of communications,HARD_PASS,
head of construction,HARD_PASS,
head of contract management estates band 8b,HARD_PASS,
head of corporate affairs and executive support,HARD_PASS,
head of delivery,HARD_PASS,
head of design and delivery,HARD_PASS,
head of digital patient pathway management,HARD_PASS,
head of divisional finance,HARD_PASS,
head of edi and people promise,HARD_PASS,
head of efficiency value and improvement evi,HARD_PASS,
head of emergency planning resilience and response,HARD_PASS,
head of financial delivery unit subject to banding,HARD_PASS,
head of financial management,HARD_PASS,
head of financial reporting and business partnering,HARD_PASS,
head of financial systems,HARD_PASS,
head of fire health safety and security,HARD_PASS,
head of group finance,HARD_PASS,
head of health intelligence architecture data platforms,HARD_PASS,
head of hr operations,HARD_PASS,
head of lived experience co production children families,HARD_PASS,
head of lived experience co production for specialist services,HARD_PASS,
head of lived experience co production stw,HARD_PASS,
head of management accounts,HARD_PASS,
head of marketing communications,HARD_PASS,
head of people and culture,HARD_PASS,
head of professional and clinical services,HARD_PASS,
head of quality professional standards and compliance,HARD_PASS,
head of recruitment,HARD_PASS,
head of resourcing,HARD_PASS,
head of service community nursing,HARD_PASS,
head of strategic finance projects,HARD_PASS,
head of systems operations,HARD_PASS,
head of workforce productivity value effectiveness,HARD_PASS,
home manager,HARD_PASS,
homecare and outreach support manager,HARD_PASS,
hospital director,HARD_PASS,
hr compliance manager,HARD_PASS,
hr manager transact delivery lead,HARD_PASS,
hr operations manager,HARD_PASS,
hr payroll and pensions manager p t,HARD_PASS,
hsdu quality manager,HARD_PASS,
hsdu technician,HARD_PASS,
icc resilience manager,HARD_PASS,
ict advanced technical engineer specialist,HARD_PASS,
ict service desk manager,HARD_PASS,
independent maternity review project manager,HARD_PASS,
individual giving and supporter care team manager,HARD_PASS,
informatics development manager,HARD_PASS,
information governance validation and release manager,HARD_PASS,
infrastructure engineer network,HARD_PASS,
inquest team manager,HARD_PASS,
integrated care general manager,HARD_PASS,
integration engineer,HARD_PASS,
interim chair non exec director,HARD_PASS,
internal vacancy open to systems head of operational estates,HARD_PASS,
it operations engineer fixed term contract,HARD_PASS,
it server infrastructure manager,HARD_PASS,
it service delivery manager,HARD_PASS,
junior digital systems support technician,HARD_PASS,
junior integration engineer,HARD_PASS,
junior operational services manager,HARD_PASS,
lead category manager,HARD_PASS,
lead data platform engineer,HARD_PASS,
lead delivery manager,HARD_PASS,
lead product manager,HARD_PASS,
life sciences hub manager,HARD_PASS,
